well_sample,temp_measured,pH,Na ,K,Ca,Mg,Cl,SO4
GPK1_KS228,137,"5,82",28200,3320,6730,150,58500,215
GPK1_KD005,137,"5,22",27200,3210,6760,145,57000,205
GPK1_KD006,137,"5,02",28000,3280,6960,152,58100,220
GPK1_KD007,137,"5,14",27900,3400,6930,152,58500,225
EPSI,150,,28300,3360,7990,122,59800,76
4616,116,"5,50",27800,3450,8400,140,60900,240
KP3500,165,"5,03",27900,2810,7300,112,61000,198
Cronenbourg,140,,31500,4030,4810,126,62000,480
Buhl_B2460,115,,64000,494,11600,1930,120300,1586
Buhl_B2535,115,,63900,503,11700,1900,120500,1525
Bruchsal_GB1,114,,38100,2200,7740,434,75200,387
Bruchsal_GB2,128,,36800,3220,7890,403,74300,243
Hélions,72,"6,20",5200,564,1500,111,11300,675
Morsbronn haut,42,"6,34",1550,175,463,"31,2",2770,675
Morsbronn bas,41,"6,43",1330,142,318,"25,2",2390,380
GRT1_Rittershoffen_GRT1-6,163,"6,27",28451,3789,7200,138,59900,220
GPK1_Soultz-sous-Forêts,137,"5,02",28000,3300,6960,152,58100,220
GPK1_Soultz-sous-Forêts,165,"5,03",27900,3055,7300,"125,5",61000,227
GPK2_Soultz-sous-Forêts,200,"5,04",27500,3250,6900,125,59000,190
GPK1_KP-3500,165,"5,52",27200,3300,6260,139,58700,255
GPK2_1999_Pre-stim_D1,200,"5,45",27400,2860,6600,98,59000,159
GPK2_P71,200,"5,58",23500,2770,5020,124,46200,150
GPK3_Soultz-sous-Forêts_P8,200,"5,51",27200,2700,5850,100,51500,163
GTLA1_Laau,160,"5,15",28200,4000,7700,76,64200,126
INSH_Insheim,165,"5,23",29900,3820,7250,99,64900,131
GPK2_Soultz-sous-Forêts,200,"4,98",28140,3200,7230,131,58560,157
GRT1_Rittershoffen,160,"6,27",28450,3790,7200,138,59900,220
CRON_Cronenbourg,140,"6,70",31500,4030,4810,126,62000,480
GBRU1_Bruchsal,120,"5,06",35130,3110,7360,301,73570,267
BUHL_Bühl,115,,64000,490,11600,1930,120300,1586
GPK1_KP-3500,165,"5,20",27900,2810,7300,112,61000,198
GPK2_99-D1,200,"5,40",27400,2860,6600,98,59000,159
GPK3_03-P8,200,"5,50",27200,2700,6210,100,54600,163
GPK4_05-p212,200,"5,30",21000,2380,6030,102,44900,166
Cronenbourg 1,147,"7,19",31500,403,4810,130,62000,480
Bruchsal GB‑2,129,"5,06",37400,3440,7430,340,75500,640
Muntzenheim 1,77,"6,20",23500,750,910,310,35720,4640
Brühl GB‑1,153,"5,20",26560,4130,8100,120,67320,80
Helios II,69,"6,17",5280,760,1530,170,10850,680
Riehen B‑1,61,"6,48",4900,190,810,190,7270,2550
Eschau 1,94,"6,50",28310,40,400,160,44380,130
Reinique 2,81,"6,30",6170,,640,80,9940,1150
Kraft 1,56,"7,00",35950,1760,3440,280,62130,1890
Bellingen III,59,"6,22",860,40,390,110,1680,350
Weinheim GT‑1,62,"6,10",28330,4320,8820,240,65060,350
Heidelberg,24,,22820,2100,6560,570,50100,
GCR1_Cronenbourg,147,"6,70",31500,403,4810,130,62000,480
GB2_Bruchsal,120,"5,00",37400,3440,7430,340,75500,640
V.G.V._1_1,112,"8,47",1230,18,"3,6","1,1",75,52
Napsugár_1_2,111,"8,30",1200,10,"7,9","1,3",138,79
Kórház_1_3,128,"8,45",996,27,"2,1","1,3",32,50
Star_1_4,51,"8,18",610,7,"6,8","1,7",114,25
Star_1_5,44,"8,23",530,"1,8","3,5","2,6",45,25
Porcelán_2a_6,105,"8,05",630,"10,4","3,9","1,5",35,25
V.G.V._2a_7,111,"7,90",450,12,"4,3","1,5",14,25
Aranyhomok_2a_8,81,"7,97",304,6,"3,6","1,7",56,25
Makra_2a_4_9,78,"8,14",240,6,"3,6","1,3",39,25
V.G.V._2a_10,70,"7,02",360,"5,4",5,2,7,25
Kórház_2a1,98,"7,80",670,"8,2","3,9","1,5",27,25
Agro_2a_12,94,"7,87",349,"5,5","4,6","1,3",35,35
Nemes_2a_13,96,"8,02",600,"9,3","4,2",2,44,25
Kossuth_2a_14,71,"7,85",250,"5,5","6,4","2,8",82,25
Kórház_2a_15,83,"7,81",580,"7,8","4,3","1,7",57,25
Kórház_2a_16,72,"8,15",425,"4,6","4,6","1,1",4,25
Déra_2a_17,77,"8,02",560,11,"4,3","2,1",52,25
Stra_2b_18,50,"8,10",210,"1,6","4,3","1,7",3,25
Stra_2b_19,55,"8,16",156,"1,9","8,6","3,5",8,25
Stra_2b_20,49,"8,20",320,"2,3","5,7","3,4",2,25
Anna_2b_21,55,"8,20",310,"2,4",5,"2,2",31,25
K_SZ_V_2b_22,43,"8,32",169,"1,1","6,4","2,8",7,25
K_SZ_V_2b_23,43,"8,10",96,"1,1","17,2","8,7",2,25
