name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Rincón de las papas,Thermal spring,Domuyo,RP1(jp),46.0,6.9,740.0,970.0,115.0,102.0,17.2,715.0,72.0,4.1,115.0,-8.9,-77.0,166.0
Rincón de las papas,Thermal spring,Domuyo,RP2(jp),40.2,7.0,780.0,2900.0,76.0,209.0,50.7,1570.0,104.0,10.6,123.0,-8.9,-77.0,174.0
Rincón de las papas,Thermal spring,Domuyo,RP(88),39.5,6.6,1098.0,2400.0,89.0,78.0,50.0,1495.0,88.0,11.0,124.0,-13.44,-112.2,159.7
El Humazo,Fumarole,Domuyo,EH1(jp),97.5,7.2,100.0,2000.0,230.0,34.6,0.2,1330.0,152.0,12.1,240.0,-8.9,-77.0,223.0
El Humazo,Fumarole,Domuyo,EH1(88),93.5,8.2,98.0,1750.0,259.0,33.0,0.4,1185.0,124.0,12.0,261.0,-8.9,-77.0,218.0
El Humazo,Fumarole,Domuyo,CEH3(jp),97.5,7.2,20.0,1.0,1.0,0.1,0.1,0.2,0.1,0.1,0.1,-13.71,-110.0,225.5
Las Olletas,Fumarole,Domuyo,LO1(jp),94.5,8.0,110.0,1500.0,154.0,43.2,1.1,973.0,53.0,9.0,200.0,-8.9,-77.0,172.0
Las Olletas,Fumarole,Domuyo,LO2(jp),93.5,7.6,110.0,1700.0,176.0,47.4,1.1,1050.0,72.0,9.7,197.0,-8.9,-77.0,185.0
Las Olletas,Fumarole,Domuyo,LO(88),93.6,7.9,122.0,1300.0,188.0,39.0,1.3,895.0,48.0,8.5,197.0,-14.16,-113.5,176.0
Aguas Calientes,Thermal spring,Domuyo,AC-1(jp),79.0,7.4,80.0,1265.0,128.0,34.4,0.9,1090.0,51.0,7.3,155.0,-8.9,-77.0,168.0
Aguas Calientes,Thermal spring,Domuyo,AC-2(jp),62.2,6.9,120.0,450.0,18.0,14.8,1.5,280.0,22.0,2.5,162.0,-8.9,-77.0,183.0
