name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Rincón de las papas,Thermal spring,Domuyo,RP1(jp),46.000,6.900,740.000,970.000,115.000,102.000,17.200,715.000,72.000,4.100,115.000,,,166.000
Rincón de las papas,Thermal spring,Domuyo,RP2(jp),40.200,7.000,780.000,2900.000,76.000,209.000,50.700,1570.000,104.000,10.600,123.000,,,174.000
Rincón de las papas,Thermal spring,Domuyo,RP(88),39.500,6.600,1098.000,2400.000,89.000,78.000,50.000,1495.000,88.000,11.000,124.000,13.44,112.2,159.700
El Humazo,Fumarole,Domuyo,EH1(jp),97.500,7.200,100.000,2000.000,230.000,34.600,0.200,1330.000,152.000,12.100,240.000,,,223.000
El Humazo,Fumarole,Domuyo,EH1(88),93.500,8.200,98.000,1750.000,259.000,33.000,0.400,1185.000,124.000,12.000,261.000,,,218.000
El Humazo,Fumarole,Domuyo,CEH3(jp),97.500,7.200,20.000,1.000,1.000,0.100,0.100,0.200,0.100,0.100,0.100,13.71,110,225.500
Las Olletas,Fumarole,Domuyo,LO1(jp),94.500,8.000,110.000,1500.000,154.000,43.200,1.100,973.000,53.000,9.000,200.000,,,172.000
Las Olletas,Fumarole,Domuyo,LO2(jp),93.500,7.600,110.000,1700.000,176.000,47.400,1.100,1050.000,72.000,9.700,197.000,,,185.000
Las Olletas,Fumarole,Domuyo,LO(88),93.600,7.900,122.000,1300.000,188.000,39.000,1.300,895.000,48.000,8.500,197.000,14.16,113.5,176.000
Aguas Calientes,Thermal spring,Domuyo,AC-1(jp),79.000,7.400,80.000,1265.000,128.000,34.400,0.900,1090.000,51.000,7.300,155.000,,,168.000
Aguas Calientes,Thermal spring,Domuyo,AC-2(jp),62.200,6.900,120.000,450.000,18.000,14.800,1.500,280.000,22.000,2.500,162.000,,,183.000
Aguas Calientes,Thermal spring,Domuyo,AC-3(jp),60.500,8.000,90.000,1012.000,100.000,26.000,1.400,679.000,41.000,5.600,172.000,,,175.000
Aguas Calientes,Thermal spring,Domuyo,AC-4(jp),67.700,6.400,140.000,1175.000,118.000,48.600,2.000,715.000,44.000,6.300,166.000,,,166.000
Aguas Calientes,Thermal spring,Domuyo,AC-5(jp),61.000,6.500,180.000,1200.000,118.000,58.000,2.300,729.000,49.000,6.100,147.000,,,166.000
Aguas Calientes,Thermal spring,Domuyo,AC-6(jp),66.100,7.100,90.000,780.000,78.000,25.000,2.000,580.000,46.000,5.300,192.000,,,188.000
Aguas Calientes,Thermal spring,Domuyo,AC4(85),61.500,7.900,95.000,1030.000,82.000,25.000,1.600,680.000,42.000,6.200,184.000,14.6,110.8,177.500
Aguas Calientes,Thermal spring,Domuyo,AC5(88),61.600,7.000,171.000,950.000,123.000,51.000,2.600,647.000,37.000,5.700,148.000,14.4,110.6,177.500
Aguas Calientes,Thermal spring,Domuyo,AC6(88),55.000,6.900,104.000,800.000,106.000,24.000,2.400,545.000,36.000,5.000,193.000,13.67,110.1,183.400
Baños del Agua Caliente,Thermal spring,Domuyo,AC-7(jp),47.000,7.000,100.000,825.000,88.000,21.600,2.700,554.000,41.000,4.500,181.000,,,184.000
Baños del Agua Caliente,Thermal spring,Domuyo,BAC7(85),45.500,6.200,105.000,723.000,56.000,19.000,2.600,450.000,36.000,4.400,177.600,14.2,110.2,186.600
Los Tachos,Fumarole,Domuyo,LT-11(jp),93.800,7.400,110.000,1900.000,196.000,55.600,1.500,1240.000,88.000,10.200,198.000,,,188.000
Los Tachos,Thermal spring,Domuyo,LT-12(jp),64.900,6.400,60.000,760.000,78.000,12.500,0.300,465.000,55.000,4.100,162.000,,,214.000
Los Tachos,Thermal spring,Domuyo,LT-13(jp),58.400,6.200,80.000,920.000,94.000,14.700,0.300,537.000,68.000,4.900,164.000,,,219.000
Los Tachos,Fumarole,Domuyo,LT1(88),93.500,8.300,128.000,1700.000,212.000,53.000,2.000,1150.000,60.000,10.000,218.000,,,178.800
Los Tachos,Fumarole,Domuyo,LT12(85),64.000,6.600,125.000,733.000,60.000,14.000,0.310,475.000,54.000,4.600,169.000,14.8,112.1,211.300
El Humazo,Thermal spring,Domuyo,dot3,97.200,8.320,78.000,2020.000,219.000,37.500,0.070,1280.000,129.000,12.370,245.000,,,233.000
Los Tachos,Thermal spring,Domuyo,dot4,96.200,8.100,119.000,1820.000,187.000,58.700,0.600,1160.000,67.500,11.160,278.000,,,192.000
Las Olletas,Thermal spring,Domuyo,dot7,97.000,8.000,102.000,1590.000,160.000,36.100,0.510,1020.000,57.000,9.910,341.000,,,190.000
Agua Caliente,Thermal spring,Domuyo,dot9,67.500,6.810,103.000,945.000,96.000,26.700,1.040,630.000,40.300,5.540,125.000,,,199.000
El Humazo,Fumarole,Domuyo,D1b,97.000,8.320,124.000,1720.000,308.000,45.000,3.100,1160.000,141.000,11.000,250.000,13.7,114,249.000
El Humazo,Fumarole,Domuyo,D1d,92.000,8.050,122.000,2230.000,258.000,83.000,3.800,1380.000,160.000,14.000,241.000,,,245.000
Los Tachos,Fumarole,Domuyo,D2b,94.000,7.900,160.000,1780.000,230.000,57.000,1.900,1270.000,63.000,11.000,241.000,13.4,111,182.000
Los Tachos,Fumarole,Domuyo,D2c,93.000,8.540,110.000,1920.000,202.000,37.000,0.750,1200.000,77.000,10.000,236.000,,,200.000
Las Olletas,Fumarole,Domuyo,D3b,94.000,8.340,464.000,1420.000,164.000,55.000,1.900,1100.000,60.000,9.800,200.000,13.1,110,188.000
Las Olletas,Fumarole,Domuyo,D3c,91.000,7.920,110.000,1680.000,170.000,43.000,0.200,1060.000,74.000,9.400,196.000,,,206.000
El Humazo De Los Tachos,Fumarole,Domuyo,D4b,92.000,8.560,98.000,2570.000,300.000,50.000,1.700,1600.000,160.000,15.000,192.000,,,232.000
Aguas Calientes vertiente,Thermal spring,Domuyo,D6,67.000,6.720,134.000,930.000,119.000,27.000,1.600,630.000,50.000,5.500,191.000,14,112,214.000
Bagno La Piedra,Thermal spring,Domuyo,D7,48.000,6.900,153.000,720.000,83.000,24.000,2.900,560.000,39.000,4.700,161.000,14.6,114,204.000
